surah_number,ayah_number,arabic_text,english_translation,abjad_value,tajweed_rules,difficulty_level
1,1,بِسمِ اللهِ الرَحمٰنِ الرَحِيمِ,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",786,"idgham,madd",1
1,2,الحَمدُ لِلهِ رَبِّ العَالَمِينَ,"[All] praise is [due] to Allah, Lord of the worlds -",1038,"ghunnah,qalqalah",1
1,3,الرَحمٰنِ الرَحِيمِ,"The Entirely Merciful, the Especially Merciful,",618,"madd,idgham",1
1,4,مَالِكِ يَومِ الدِّينِ,"Sovereign of the Day of Recompense.",535,"qalqalah,ghunnah",2
1,5,إِيَّاكَ نَعبُدُ وَإِيَّاكَ نَستَعِينُ,"It is You we worship and You we ask for help.",1073,"madd,idgham,ghunnah",2
1,6,اهدِنَا الصِّرَاطَ المُستَقِيمَ,"Guide us to the straight path -",1052,"qalqalah,madd",2
1,7,صِرَاطَ الَّذِينَ أَنعَمتَ عَلَيهِم غَيرِ المَغضُوبِ عَلَيهِم وَلا الضَّالِّينَ,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",3139,"ghunnah,idgham,madd,qalqalah",3
2,1,الم,"Alif, Lam, Meem.",71,"madd",1
2,2,ذَلِكَ الكِتَابُ لا رَيبَ فِيهِ هُدًى لِلمُتَّقِينَ,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",1303,"qalqalah,ghunnah,madd",2
2,3,الَّذِينَ يُؤمِنُونَ بِالغَيبِ وَيُقِيمُونَ الصَّلاةَ وَمِمَّا رَزَقنَاهُم يُنفِقُونَ,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",2847,"ghunnah,idgham,qalqalah,madd",3
2,4,وَالَّذِينَ يُؤمِنُونَ بِمَا أُنزِلَ إِلَيكَ وَمَا أُنزِلَ مِن قَبلِكَ وَبِالآخِرَةِ هُم يُوقِنُونَ,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",3421,"madd,ghunnah,idgham,qalqalah",3
2,5,أُولَٰئِكَ عَلَى هُدًى مِن رَبِّهِم وَأُولَٰئِكَ هُمُ المُفلِحُونَ,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",1842,"madd,ghunnah,qalqalah",2
